# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 27.05.2019
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 196608
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Datum;Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss
06.06.2019;17;Postulat Fraktion GB/JA! (Franziska Grossenbacher, GB/Seraina Patzen, JA!): Transparenz bei Flugreisen der Stadtverwaltung;;Traktandiert;
06.06.2019;30;Motion Fraktion SP/JUSO (Michael Aebersold, SP): Grüne Lungen in Bern;;Traktandiert;
06.06.2019;14;Motion Fraktion GB/JA! (Stéphanie Penher, GB): Bern klimaneutral bis 2035 (III), Umweltzonen zum Schutz von Klima und Bevölkerung;;Traktandiert;
06.06.2019;13;Interfraktionelle Motion BDP/CVP, GLP/JGLP (Michael Daphinoff, CVP/Lionel Gaudy, BDP/Matthias Egli, GLP): Pilotversuch Gratisparkplätze für Elektrofahrzeuge;;Traktandiert;
06.06.2019;12;Postulat Fraktion BDP/CVP (Michael Daphinoff, CVP/Martin Schneider, BDP):  Fördermassnahmen für mehr Elektromobilität in Bern;;Traktandiert;
06.06.2019;11;Interfraktionelle Motion GLP/JGLP, BDP/CVP, SP/JUSO, GFL/EVP (Matthias Egli, GLP/Michael Daphinoff, CVP/Benno Frauchiger, SP/Franziska Grossenbacher, GB/Matthias Stürmer, EVP): Elektroautos als Teil der Mobilität in Bern anerkennen und geeignete Anreize schaffen;;Traktandiert;
06.06.2019;10;Postulat Fraktion SP/JUSO (Benno Frauchiger, SP): Elektroautos statt Benzinkutschen – auch für MieterInnen von Abstellplätzen;;Traktandiert;
06.06.2019;5;Dringliche Motion Zora Schneider (PdA), Angela Falk (AL), Tabea Rai (AL): Klimamassnahmen prioritär umsetzen;;Traktandiert;
06.06.2019;4;Dringliche Motion Fraktion SP/JUSO (Nora Krummen/Ingrid Kissling-Näf/Benno Frauchiger, SP): CO2-Neutralität bis 2030;;Traktandiert;
06.06.2019;3;Interfraktionelles Postulat GFL/EVP, GB/JA!, GLP/JGLP, AL/GaP/PdA (Marcel Wüthrich, GFL/Bettina Jans-Troxler, EVP/Katharina Gallizzi, GB/Eva Krattiger, JA!/Peter Ammann, GLP/Christa Ammann, AL/Luzius Theiler, GaP/Lionel Gaudy, BDP): Klimastrategie für die Anlagen der Personalvorsorgekasse;;Traktandiert;
06.06.2019;9;Interfraktionelle Motion GB/JA!, GFL/EVP (Franziska Grossenbacher, GB/Marcel Wüthrich, GFL): Bern klimaneutral bis 2035 (II): Bern startet eine Solaroffensive!;;Traktandiert;
06.06.2019;8;Interfraktionelles Postulat Fraktion GB/JA!, SP/JUSO, GFL/EVP (Katharina Gallizzi/Rahel Ruch, GB/Ingrid Kissling-Näf, SP/Patrik Wyss, GFL): Kreislaufwirtschaft und soziale Innovation fördern: Masterplan;;Traktandiert;
06.06.2019;7;Interfraktionelle Motion GFL/EVP, GB/JA! (Lukas Gutzwiller, GFL/Stéphanie Penher, GB): Der Gebäudebestand der Stadt Bern wird bis 2035 klimaneutral;;Traktandiert;
06.06.2019;2;Interfraktionelle Motion GB/JA!, GFL/EVP (Franziska Grossenbacher, GB/Brigitte Hilty Haller, GFL): Bern klimaneutral bis 2035 (IV), Austausch und Beteiligung;;Traktandiert;
06.06.2019;1;Interfraktionelle Motion GB/JA!, GFL/EVP (Regula Tschanz, GB/Janine Wicki, GFL): Bern klimaneutral bis 2035;;Traktandiert;
06.06.2019;15;Interfraktionelle Motion Fraktionen GB/JA!, SP/JUSO, GFL/EVP, GLP/JGLP (Stéphanie Penher, GB/Michael Sutter, SP/Marcel Wüthrich, GFL/Matthias Egli, GLP): Mobilitätsset für Zuzügerinnen und Zuzüger beim Wohnortwechsel und beim Arbeitsplatzwechsel;;Traktandiert;
23.05.2019;13;Dringliche Motion Fraktion SP/JUSO (Nora Krummen/Ingrid Kissling-Näf/Benno Frauchiger, SP): CO2-Neutralität bis 2030;2019-355;Beschlossen;Verschiebung
23.05.2019;14;Dringliche Motion Zora Schneider (PdA), Angela Falk (AL), Tabea Rai (AL): Klimamassnahmen prioritär umsetzen;2019-356;Beschlossen;Verschiebung
23.05.2019;10;Dringliche Interpellation Luzius Theiler (GaP): Wie gedenkt der Gemeinderat die städtebauliche Qualität bei der Neugestaltung des Bubenbergplatzes sicherzustellen?;2019-352;Beschlossen;Kenntnis
23.05.2019;9;Dringliche Interpellation Henri-Charles Beuchat (SVP): Nicht Einhaltung von Verfügungen des Regierungsstatthalters durch die Reitschule. Verstösse gegen das GGG;2019-351;Beschlossen;Kenntnis
23.05.2019;8;Integrierter Aufgaben- und Finanzplan 2020–2023;2019-350;Beschlossen;Kenntnis
23.05.2019;1;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 06 vom 21.03.2019);2019-343;Beschlossen;Genehmigung
23.05.2019;2;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 07 vom 28.03.2019);2019-344;Beschlossen;Genehmigung
23.05.2019;7;Interpellation Fraktion BDP/CVP (Michael Daphinoff, CVP/Lionel Gaudy, BDP): Stellenwachstum nachvollziehen;2019-349;Beschlossen;Kenntnis
23.05.2019;11;Motion Fraktion SP (Peter Marbet/Michael Sutter): Weyermannshaus: Mehr Qualität im Aussenraum I - Schaffen eines Quartierzentrums;2019-353;Beschlossen;Erheblicherkl.
23.05.2019;12;Motion Fraktion SP (Peter Marbet/Michael Sutter, SP): Weyermannshaus: Mehr Qualität im Aussenraum II – Schaffen des Grünraums Stadtbach;2019-354;Beschlossen;Erheblicherkl.
23.05.2019;3;Kleine Anfrage Fraktion GB/JA! (Rahel Ruch, GB): Transparenz am E-Prix?;2019-345;Beschlossen;Kenntnis
23.05.2019;4;Kleine Anfrage Fraktion GFL/EVP (Marcel Wüthrich, GFL): Wie beeinflussen – oder auch nicht – globale Megatrends die Auswahl der Anlagefonds und somit die Rendite der Personalvorsorgekasse?;2019-346;Beschlossen;Kenntnis
23.05.2019;5;Kleine Anfrage Matthias Stürmer (EVP): Transparenz-Rückschritt beim ewb Finanzbericht 2018;2019-347;Beschlossen;Kenntnis
23.05.2019;6;Kleine Anfrage Zora Schneider (PdA): Wie geht es weiter mit der Frauenklinik?;2019-348;Beschlossen;Kenntnis
16.05.2019;12;Dringliche Motion Fraktion SP/JUSO (Timur Akçasayar/Ladina Kirchen, SP): Neue Tangentialbuslinie Bern Nordwest: Die Lücke im städtischen Liniennetz mit einer direkten Busverbindung Kleefeld-Neufeld schliessen;2019-324;Beschlossen;Erheblicherkl. als Richtlinie
